timestamp	name	type
2019-04-09 19:35:06.827732	Mio Mio Cola	cola
2019-04-09 19:35:01.869332	MIO MIO Ginger	mate
2019-04-09 18:33:12.085979	Mio Mio Cola	cola
2019-04-09 18:21:23.380076	Fortuna Apfelschorle	saft
2019-04-09 18:14:22.02813	Mio Mio Cola	cola
2019-04-09 18:13:53.262093	Mio Mio Cola	cola
2019-04-09 18:10:17.206401	Mio Mio Cola	cola
2019-04-09 18:08:10.103734	Fortuna Apfelschorle	saft
2019-04-09 17:43:40.391908	Waldecker Sport	saft
2019-04-09 17:21:07.797852	Waldecker Sport	saft
2019-04-09 17:18:13.672261	Jever Fun Alkoholfrei	saft
2019-04-09 15:57:18.275165	Mio Mio Cola	cola
2019-04-09 15:50:52.6044	MIO MIO Ginger	mate
2019-04-09 14:35:30.861002	MIO MIO Ginger	mate
2019-04-09 14:23:52.903452	MIO MIO Ginger	mate
2019-04-08 20:46:21.795254	Jacobinus Bierspezialität	bier
2019-04-08 20:46:13.001241	Jacobinus Bierspezialität	bier
2019-04-08 19:32:40.329199	Krombacher Radler	bier
2019-04-08 19:29:38.797485	Jever Fun Alkoholfrei	saft
2019-04-08 18:24:00.659998	Krombacher Radler	bier
2019-04-08 18:22:34.573933	Krombacher Radler	bier
2019-04-08 01:54:29.414024	Mio Mio Cola	cola
2019-04-07 23:16:06.750392	Mio Mio Cola	cola
2019-04-07 21:05:53.23186	MIO MIO Ginger	mate
2019-04-07 20:28:18.113319	JEVER	bier
2019-04-07 19:52:02.155947	JEVER	bier
2019-04-07 19:39:17.343614	BECKS	bier
2019-04-07 18:58:10.512268	JEVER	bier
2019-04-07 18:57:40.37011	BECKS	bier
2019-04-07 18:19:52.321279	JEVER	bier
2019-04-07 18:16:49.718409	BECKS	bier
2019-04-07 17:47:47.505024	JEVER	bier
2019-04-07 17:28:17.60515	MIO-MIO-MATE	mate
2019-04-07 17:18:31.652245	Mio Mio Cola	cola
2019-04-07 17:17:51.22269	Jever Fun Alkoholfrei	saft
2019-04-07 17:17:38.033473	MIO-MIO-MATE	mate
2019-04-07 17:17:08.405043	Mio-Mio Banana	mate
2019-04-07 14:22:43.764893	Mio Mio Cola	cola
2019-04-07 14:16:16.717049	Mio Mio Cola	cola
2019-04-07 14:15:13.553171	Fortuna Apfelschorle	saft
2019-04-07 14:09:53.232382	Mio Mio Cola	cola
2019-04-06 15:12:01.271729	MIO-MIO-MATE	mate
2019-04-05 23:33:03.245527	Fortuna Apfelschorle	saft
2019-04-05 20:58:35.811917	Mio Mio Cola	cola
2019-04-05 18:17:52.940395	Jever Fun Alkoholfrei	saft
2019-04-05 18:17:40.490425	Jever Fun Alkoholfrei	saft
2019-04-05 17:27:10.061346	BECKS	bier
2019-04-05 16:43:27.882879	BECKS	bier
2019-04-05 15:05:52.680577	MIO-MIO-MATE	mate
2019-04-05 14:31:04.254945	Caldener Medium	wasser
2019-04-05 11:44:46.063939	MIO-MIO-MATE	mate
2019-04-05 10:49:36.127783	MIO-MIO-MATE	mate
2019-04-04 23:11:57.559287	MIO MIO Ginger	mate
2019-04-04 22:12:25.599118	MIO MIO Ginger	mate
2019-04-04 18:38:56.323755	Mio Mio Cola	cola
2019-04-04 18:23:09.362947	Krombacher Radler Naturtrüb	bier
2019-04-04 16:38:51.149204	Mio Mio Cola	cola
2019-04-04 16:28:14.796689	Fortuna Apfelschorle	saft
2019-04-04 15:35:29.58846	Mio Mio Cola	cola
2019-04-04 14:32:18.148044	Mio-Mio Banana	mate
2019-04-04 13:29:28.174499	MIO-MIO-MATE	mate
2019-04-04 13:18:24.613618	MIO-MIO-MATE	mate
2019-04-04 13:14:58.334423	MIO-MIO-MATE	mate
2019-04-04 05:37:34.865719	MIO-MIO-MATE	mate
2019-04-03 15:09:31.689949	MIO-MIO-MATE	mate
2019-04-03 05:42:23.191512	MIO-MIO-MATE	mate
2019-04-02 21:14:52.056107	Mio Mio Cola	cola
2019-04-02 20:08:03.668427	Jever Fun Alkoholfrei	saft
2019-04-02 20:07:50.862694	MIO MIO Ginger	mate
2019-04-02 20:00:56.484488	Mio-Mio Banana	mate
2019-04-02 19:37:32.593216	Jever Fun Alkoholfrei	saft
2019-04-02 19:18:58.862973	Jever Fun Alkoholfrei	saft
2019-04-02 18:48:12.83463	BECKS	bier
2019-04-02 18:45:44.863336	MIO-MIO-MATE	mate
2019-04-02 18:45:17.792134	MIO-MIO-MATE	mate
2019-04-02 18:44:18.257154	Krombacher Radler	bier
2019-04-02 18:41:07.427092	Mio Mio Cola	cola
2019-04-02 18:37:42.705486	Fortuna Apfelschorle	saft
2019-04-02 18:18:37.754024	BECKS	bier
2019-04-02 17:39:50.284357	Waldecker Sport	saft
2019-04-02 17:33:54.264095	Jever Fun Alkoholfrei	saft
2019-04-02 17:06:57.851683	Fortuna Apfelschorle	saft
2019-04-02 16:16:49.002001	Mio Mio Cola	cola
2019-04-02 15:41:36.99666	MIO-MIO-MATE	mate
2019-04-02 12:23:59.85816	MIO-MIO-MATE	mate
2019-04-01 13:31:59.913784	MIO-MIO-MATE	mate
2019-04-01 01:17:38.244217	Fortuna Apfelschorle	saft
2019-03-31 22:39:43.647816	MIO MIO Ginger	mate
2019-03-31 21:06:48.787589	Esch-weger	bier
2019-03-31 20:29:59.854907	Esch-weger	bier
2019-03-31 20:07:50.773703	Mio Mio Cola	cola
2019-03-31 19:52:39.101786	Esch-weger	bier
2019-03-31 19:11:12.428958	Jever Fun Alkoholfrei	saft
2019-03-31 19:10:50.857134	Jever Fun Alkoholfrei	saft
2019-03-31 19:06:20.267137	Esch-weger	bier
2019-03-31 16:30:21.389039	Caldener Medium	wasser
2019-03-31 00:50:54.1366	Mio Mio Cola	cola
2019-03-30 21:48:43.316053	Mio Mio Cola	cola
2019-03-30 16:43:26.542589	MIO-MIO-MATE	mate
2019-03-30 12:53:54.547266	MIO-MIO-MATE	mate
2019-03-30 01:14:46.626214	Fortuna Apfelschorle	saft
2019-03-29 21:52:35.714616	Mio Mio Cola	cola
2019-03-29 20:17:33.240897	MIO-MIO-MATE	mate
2019-03-29 18:59:47.327999	Jever Fun Alkoholfrei	saft
2019-03-29 18:59:38.756737	Jever Fun Alkoholfrei	saft
2019-03-29 18:59:12.78188	Jever Fun Alkoholfrei	saft
2019-03-29 18:59:03.788327	Jever Fun Alkoholfrei	saft
2019-03-29 18:58:51.65196	Jever Fun Alkoholfrei	saft
2019-03-29 13:43:14.045387	Mio-Mio Banana	mate
2019-03-29 13:18:46.998076	MIO-MIO-MATE	mate
2019-03-29 13:00:13.76628	Mio Mio Cola	cola
2019-03-29 12:53:48.10165	MIO-MIO-MATE	mate
2019-03-28 20:25:29.892401	Jever Fun Alkoholfrei	saft
2019-03-28 18:03:48.340739	Mio Mio Cola	cola
